FlightDate,arrTime,DepDelay,TaxiMid,ArrDelay,ElapseTimeMid,AirTime,Distance
2022/1/1,1,138,2,136,-2,113,657
2022/1/1,1,31,-15,46,15,130,1067
2022/1/1,2,-8,13,-29,-21,182,1635
2022/1/1,2,196,20,203,7,106,794
2022/1/1,3,-8,8,-28,-20,143,1235
2022/1/1,4,15,7,14,-1,116,670
2022/1/1,5,0,51,35,35,41,164
2022/1/1,5,57,18,67,10,143,985
2022/1/1,6,58,-3,51,-7,139,1182
2022/1/1,6,7,9,8,1,73,469
2022/1/1,10,4,14,15,11,217,1342
2022/1/1,12,-8,3,-19,-11,139,912
2022/1/1,13,1,4,-2,-3,124,1069
2022/1/1,15,135,100,227,92,52,224
2022/1/1,15,47,13,44,-3,25,89
2022/1/1,18,55,37,97,42,167,925
2022/1/1,18,12,6,22,10,111,689
2022/1/1,20,15,12,30,15,45,190
2022/1/1,21,154,9,145,-9,156,1103
2022/1/1,22,42,42,78,36,175,1041
2022/1/1,22,14,15,21,7,130,813
2022/1/1,22,87,7,106,19,230,1389
2022/1/1,23,4,13,25,21,222,1660
2022/1/1,24,79,10,78,-1,73,429
2022/1/1,24,137,-19,177,40,109,624
2022/1/1,24,109,6,99,-10,88,562
2022/1/1,25,76,16,75,-1,117,696
2022/1/1,26,-3,6,-3,0,141,874
2022/1/1,27,67,10,,-140,,862
2022/1/1,28,59,-32,79,20,133,1164
2022/1/1,28,49,42,69,20,146,925
2022/1/1,29,31,9,19,-12,141,1235
2022/1/1,30,89,2,75,-14,101,843
2022/1/1,32,154,15,154,0,180,1482
2022/1/1,40,29,6,20,-9,142,1242
2022/1/1,41,96,6,101,5,133,756
2022/1/1,42,43,14,33,-10,112,862
2022/1/1,43,72,1,58,-14,102,872
2022/1/1,45,105,57,191,86,163,931
2022/1/1,47,64,6,52,-12,149,1041
2022/1/1,48,96,-5,78,-18,120,849
2022/1/1,49,76,23,79,3,88,651
2022/1/1,49,57,5,34,-23,184,1642
2022/1/1,51,11,67,71,60,59,229
2022/1/1,52,-4,-18,12,16,160,1119
2022/1/1,100,182,36,197,15,44,175
2022/1/1,101,-6,4,-14,-8,144,1222
2022/1/1,102,199,3,192,-7,57,319
2022/1/1,104,4,6,-1,-5,129,1090
2022/1/1,105,50,6,44,-6,147,936
2022/1/1,107,192,37,218,26,144,853
2022/1/1,115,16,52,78,62,228,1303
2022/1/1,115,97,9,93,-4,40,134
2022/1/1,120,102,5,85,-17,157,1390
2022/1/1,129,160,30,151,-9,73,563
2022/1/1,129,114,8,99,-15,116,883
2022/1/1,132,167,-1,160,-7,206,1325
2022/1/1,135,106,6,80,-26,142,1313
2022/1/1,140,289,22,312,23,75,563
2022/1/1,140,126,10,121,-5,29,140
2022/1/1,143,190,12,179,-11,109,862
2022/1/1,152,127,32,134,7,85,641
2022/1/1,158,88,4,100,12,190,1190
2022/1/1,202,213,5,214,1,124,731
2022/1/1,203,101,8,108,7,149,1164
2022/1/1,220,139,12,141,2,61,309
